AREA,PERIMETER,POPPLACE_,POPPLACE_I,UNIQUE_KEY,NAME,NAME_E,NAME_F,REG_CODE,NTS50,LAT,LONG,SGC_CODE,CAPITAL,POP_RANGE
0.000,0.000,1,1,AARNV,Port Hope Simpson,,,10,013A09,523300,561800,1010009,0,2
0.000,0.000,2,1,AAKDE,Hopedale,,,10,013N08,552800,601300,1010048,0,2
0.000,0.000,3,1,AANQP,Makkovik,,,10,013O03,550500,591100,1010044,0,1
0.000,0.000,4,1,AADZL,Churchill Falls,,,10,023H09,533300,640100,1010029,0,2
0.000,0.000,5,1,AAQAF,North West River,,,10,013F09,533200,600800,1010022,0,2
0.000,0.000,6,1,AATJW,Rigolet,,,10,013J01,541100,582600,1010021,0,1
0.000,0.000,7,1,AADQK,Cartwright,,,10,013H11,534200,570100,1010012,0,2
0.000,0.000,8,1,BACMK,Tignish,,,11,021I16,465700,640200,0,0,1
0.000,0.000,9,1,CAGYX,Cheticamp,,,12,011K11,463800,610100,1215011,0,2
0.000,0.000,10,1,CBIKA,Sheet Harbour,,,12,011D15,445500,623200,1209036,0,2
0.000,0.000,11,1,EHDEQ,Maniwaki,,,24,031J05,462300,755800,2483065,0,2
0.000,0.000,12,1,EHNWP,Parent,,,24,031O15,475500,743700,2490030,0,1
0.000,0.000,13,1,EIFTL,Tadoussac,,,24,022C04,480900,694300,2495005,0,2
0.000,0.000,14,1,EHJNE,Natashquan,,,24,012K04,501200,614900,0,0,1
0.000,0.000,15,1,EHYVN,Saint-Augustin,,,24,012O02,511300,583900,0,0,1
0.000,0.000,16,1,EICJR,Schefferville,,,24,023J15,544800,665000,2497040,0,1
0.000,0.000,17,1,EJJIY,Salluit,,,24,035J04,621300,753900,2499887,0,2
0.000,0.000,18,1,EJNER,Kangiqsujuaq,,,24,025E12,613553,715740,2499888,0,1
0.000,0.000,19,1,EKQQU,Kangirsuk,,,24,025D01,600105,700140,2499890,0,1
0.000,0.000,20,1,EJLMI,Kangiqsualujjuaq,,,24,024I12,584128,655715,2499894,0,2
0.000,0.000,21,1,EJLMJ,Tasiujaq,,,24,024K12,584200,695600,2499892,0,1
0.000,0.000,22,1,EKQQB,Ivujivik,,,24,035K05,622500,775500,2499140,0,1
0.000,0.000,23,1,EJNEV,Quaqtaq,,,24,025F04,610200,693700,2499889,0,1
0.000,0.000,24,1,ELZXX,Umiujaq,,,24,034C10,563318,763310,2499080,0,1
0.000,0.000,25,1,EJKNA,Kuujjuarapik,,,24,033N05,551700,774500,2499075,0,2
0.000,0.000,26,1,EKZMY,Wemindji,,,24,033D15,530000,784900,0,0,1
0.000,0.000,27,1,EGFVN,Eastmain,,,24,033D02,521500,783000,0,0,1
0.000,0.000,28,1,FDGDZ,Wawa,,,35,041N15,475900,844700,3557076,0,1
0.000,0.000,29,1,FCJJL,Rainy River,,,35,052D10,484300,943400,3559042,0,2
0.000,0.000,30,1,FERDZ,Peawanuck,,,35,043N03,550100,852500,0,0,1
0.000,0.000,31,1,FAIJC,Big Trout Lake,,,35,053H13,534900,895300,3560090,0,1
0.000,0.000,32,1,FBWGP,Lansdowne House,,,35,043D04,521400,875300,3560081,0,1
0.000,0.000,33,1,FBEYY,Fort Severn,,,35,043M13,555900,873800,3560090,0,1
0.000,0.000,34,1,GAJQX,Grand Rapids,,,46,063G03,531042,991553,4621078,0,1
0.000,0.000,35,1,GACFO,Berens River,,,46,063A06,522155,970145,4619045,0,1
0.000,0.000,36,1,GAJJI,Gods Lake Narrows,,,46,053L09,543317,942835,4622046,0,1
0.000,0.000,37,1,GADRG,Brochet,,,46,064F13,575247,1014016,4623062,0,1
0.000,0.000,38,1,GAPQK,Lynn Lake,,,46,064C14,565106,1010248,4623047,0,2
0.000,0.000,39,1,GAWIU,Pukatawagan,,,46,063N11,554432,1011857,4623062,0,1
0.000,0.000,40,1,GAZXJ,South Indian Lake,,,46,064B15,564649,985549,4623037,0,2
0.000,0.000,41,1,GAFRM,Cranberry Portage,,,46,063K11,543510,1012238,4621057,0,2
0.000,0.000,42,1,HATYU,Leader,,,47,072K13,505300,1093300,4708058,0,2
0.000,0.000,43,1,HAEPO,Cumberland House,,,47,063E16,535800,1021600,4718005,0,2
0.000,0.000,44,1,HAHIH,Sandy Bay,,,47,063M09,553100,1021900,4718058,0,2
0.000,0.000,45,1,HAPNW,Fond-du-Lac,,,47,074O06,591900,1071200,35551,0,2
0.000,0.000,46,1,HAEBJ,Black Lake,,,47,074P04,590800,1053600,4718090,0,1
0.000,0.000,47,1,IAFFY,Fort Vermilion,,,48,084K08,582400,1160000,4817095,0,2
0.000,0.000,48,1,IAFEW,Fort Chipewyan,,,48,074L11,584200,1110800,4816030,0,2
0.000,0.000,49,1,JBAPP,Hudson's Hope,,,59,094A04,560000,1220000,5955025,0,2
0.000,0.000,50,1,JCQPU,Queen Charlotte City,,,59,103F08,531515,1320500,5947029,0,2
0.000,0.000,51,1,JAPKE,Hazelton,,,59,093M05,551500,1274000,5949022,0,1
0.000,0.000,52,1,JARKT,Atlin,,,59,104N12,593400,1334200,5957020,0,1
0.000,0.000,53,1,KAALD,Beaver Creek,,,60,115K07,622300,1405230,6001042,0,1
0.000,0.000,54,1,KACRQ,Haines Junction,,,60,115A13,604510,1373025,6001018,0,1
0.000,0.000,55,1,KABBU,Carmacks,,,60,115I01,620520,1361720,6001012,0,1
0.000,0.000,56,1,KAFAF,Pelly Crossing,,,60,115I15,624905,1363410,6001041,0,1
0.000,0.000,57,1,KAEBA,Mayo,,,60,105M12,633535,1355345,6001022,0,1
0.000,0.000,58,1,KABPC,Dawson,,,60,116B03,640345,1392550,6001029,0,2
0.000,0.000,59,1,KABAL,Carcross,,,60,105D02,601000,1344200,6001045,0,1
0.000,0.000,60,1,KAGQJ,Teslin,,,60,105C02,601000,1324315,6001006,0,1
0.000,0.000,61,1,KAFPB,Ross River,,,60,105F16,615900,1322600,6001037,0,1
0.000,0.000,62,1,KAHDJ,Watson Lake,,,60,105A02,600350,1284220,6001003,0,2
0.000,0.000,63,1,KABYO,Elsa,,,60,105M14,635445,1352850,6001045,0,1
0.000,0.000,64,1,LADUC,Broughton Island,,,61,026P00,673300,640200,6104010,0,1
0.000,0.000,65,1,LAELB,Cape Dorset,,,61,036C02,641400,763230,6104007,0,2
0.000,0.000,66,1,LAUCM,Repulse Bay,,,61,046L00,663200,861500,6105027,0,1
0.000,0.000,67,1,LAZWJ,Whale Cove,,,61,055K00,621015,923440,6105016,0,1
0.000,0.000,68,1,LAEVR,Chesterfield Inlet,,,61,055O07,632020,904205,6105019,0,1
0.000,0.000,69,1,LAFLL,Coral Harbour,,,61,046B00,640800,831000,6105014,0,2
0.000,0.000,70,1,LAIKS,Fort Liard,,,61,095B03,601400,1232800,6106009,0,1
0.000,0.000,71,1,LAILA,Fort Providence,,,61,085F05,612100,1173900,6106014,0,2
0.000,0.000,72,1,LATRU,Rae,,,61,085K16,625000,1160300,0,0,1
0.000,0.000,73,1,LAILE,Fort Resolution,,,61,085H04,611015,1134015,6106018,0,2
0.000,0.000,74,1,LCABE,{1}utselk'e,,,61,075L07,622418,1104415,6106020,0,1
0.000,0.000,75,1,LAIKL,Fort Good Hope,,,61,106I07,661525,1283800,6107009,0,2
0.000,0.000,76,1,LARCU,Norman Wells,,,61,096E00,651655,1264945,6107007,0,2
0.000,0.000,77,1,LBAKM,Wrigley,,,61,095O05,631605,1233640,6106044,0,1
0.000,0.000,78,1,LAUSB,Sachs Harbour,,,61,097G15,715900,1251425,6107041,0,1
0.000,0.000,79,1,LAATD,Aklavik,,,61,107B00,681310,1350020,6107025,0,2
0.000,0.000,80,1,LAIKT,Fort McPherson,,,61,106M07,672620,1345250,6107015,0,2
0.000,0.000,81,1,LCACE,Tsiigehtchic,,,61,106N05,672635,1334420,6107010,0,1
0.000,0.000,82,1,LAYQV,Tuktoyaktuk,,,61,107C00,692715,1330155,6107036,0,2
0.000,0.000,83,1,LASFJ,Paulatuk,,,61,097C08,692100,1240400,6107014,0,1
0.000,0.000,84,1,LAKQG,Holman,,,61,087F10,704400,1174500,6108095,0,1
0.000,0.000,85,1,LAJCU,Gjoa Haven,,,61,057B12,683730,955240,6108081,0,2
0.000,0.000,86,1,LCABD,Taloyoak,,,61,057C10,693210,933115,6108087,0,2
0.000,0.000,87,1,LASJF,Pelly Bay,,,61,057A00,683205,894930,6108047,0,1
0.000,0.000,88,1,LALCB,Igloolik,,,61,047D00,692300,814800,6104012,0,2
0.000,0.000,89,1,LAJWH,Hall Beach,,,61,047A00,684725,811415,6104011,0,2
0.000,0.000,90,1,LAJQR,Grise Fiord,,,61,049A05,762500,825345,6104025,0,1
0.000,0.000,91,1,LABJT,Arctic Bay,,,61,048C00,730200,851000,6104018,0,2
0.000,0.000,92,1,LASXA,Pond Inlet,,,61,038B00,724200,775900,6104020,0,2
0.000,0.000,93,1,LAFDA,Clyde River,,,61,027F00,702805,683540,6104015,0,2
0.000,0.000,94,1,LAUCS,Resolute,,,61,058F11,744145,944945,6104022,0,1
0.000,0.000,95,1,LAUZB,Sanikiluaq,,,61,034D00,563200,791400,6104001,0,2
0.000,0.000,96,2,AARHJ,Placentia,,,10,001N04,471400,535800,1001240,0,3
0.000,0.000,97,2,AATPY,Roddickton,,,10,012I16,505200,560800,1009006,0,2
0.000,0.000,98,2,AAWBN,St. Anthony,,,10,002M05,512200,553500,1009029,0,2
0.000,0.000,99,2,ABAUI,Baie Verte,,,10,012H16,495600,561100,1008079,0,2
0.000,0.000,100,2,AAFKA,Deer Lake,,,10,012H03,491000,572600,1005004,0,2
0.000,0.000,101,2,ACGAI,Buchans,,,10,012A15,484930,565045,1006031,0,2
0.000,0.000,102,2,AADBW,Burgeo,,,10,011P12,473700,573700,1003028,0,2
0.000,0.000,103,2,AAJKQ,Harbour Breton,,,10,001M05,472900,554800,1003008,0,2
0.000,0.000,104,2,AAIHR,Grand Bank,,,10,001M04,470600,554600,1002019,0,2
0.000,0.000,105,2,AACKH,Bonavista,,,10,002C11,483900,530700,1007023,0,2
0.000,0.000,106,2,AAPBP,Nain,,,10,014C12,563200,614100,1010056,0,2
0.000,0.000,107,2,AACMK,Botwood,,,10,002E03,490900,552100,1006022,0,2
0.000,0.000,108,2,AAROJ,Port Saunders,,,10,012I11,503900,571800,1009019,0,2
0.000,0.000,109,2,BACII,Souris,,,11,011L08,462100,621500,1101036,0,2
0.000,0.000,110,2,CAGBW,Canso,,,12,011F07,452000,610000,1213006,0,2
0.000,0.000,111,2,CBELL,Port Hawkesbury,,,12,011F11,453700,612100,1215002,0,2
0.000,0.000,112,2,CAATB,Antigonish,,,12,011F12,453700,620000,1214002,0,2
0.000,0.000,113,2,CBKDH,Springhill,,,12,021H09,453900,640300,1211008,0,2
0.000,0.000,114,2,CBPAK,Windsor,,,12,021A16,445900,640800,1208002,0,2
0.000,0.000,115,2,CAWAZ,Lunenburg,,,12,021A08,442300,641900,1206006,0,2
0.000,0.000,116,2,CAUWZ,Liverpool,,,12,021A02,440200,644300,1204006,0,2
0.000,0.000,117,2,CAZHC,Middleton,,,12,021A14,445700,650400,1205016,0,2
0.000,0.000,118,2,CAJOA,Digby,,,12,021A12,443700,654600,1203006,0,2
0.000,0.000,119,2,CBIKP,Shelburne,,,12,020P14,434600,651900,1201008,0,2
0.000,0.000,120,2,DAZBZ,St. Stephen,,,13,021G03,451200,671700,1302037,0,2
0.000,0.000,121,2,DASFF,Sussex,,,13,021H12,454300,653100,1305022,0,2
0.000,0.000,122,2,DAVMY,Minto,,,13,021J01,460500,660400,1304022,0,2
0.000,0.000,123,2,DAWNW,Woodstock,,,13,021J04,460900,673500,1311006,0,2
0.000,0.000,124,2,DAAOF,Dalhousie,,,13,022B01,480400,662300,1314017,0,2
0.000,0.000,125,2,EFKJR,Baie-Saint-Paul,,,24,021M07,472700,703000,2416010,0,2
0.000,0.000,126,2,EGXQD,La Pocatiere,,,24,021M08,472200,700200,2414085,0,2
0.000,0.000,127,2,EIITL,Trois-Pistoles,,,24,022C03,480700,691000,2411040,0,2
0.000,0.000,128,2,EHIXC,Murdochville,,,24,022A14,485800,653000,2403025,0,2
0.000,0.000,129,2,EFTLX,Cap-Chat,,,24,022G02,490600,664100,2404045,0,2
0.000,0.000,130,2,EHPAM,Perce,,,24,022A09,483200,641300,2402005,0,2
0.000,0.000,131,2,EITOF,Grande-Riviere,,,24,022A08,482400,643000,2402015,0,2
0.000,0.000,132,2,EILNZ,Ville-Marie,,,24,031M06,472000,792600,2485025,0,2
0.000,0.000,133,2,EIGKH,Temiscaming,,,24,031L11,464300,790600,2485005,0,2
0.000,0.000,134,2,EHCTX,Malartic,,,24,032D01,480800,780800,2489015,0,2
0.000,0.000,135,2,EICUR,Senneterre,,,24,032C06,482300,771400,2489040,0,2
0.000,0.000,136,2,EGQDN,Havre-Saint-Pierre,,,24,012L04,501400,633600,2498040,0,2
0.000,0.000,137,2,EHBMK,Lourdes-de-Blanc-Sablon,,,24,012P06,512500,571200,2498005,0,2
0.000,0.000,138,2,EJJIZ,Kuujjuaq,,,24,024K01,580600,682400,2499893,0,2
0.000,0.000,139,2,EJJJC,Chisasibi,,,24,033E15,534700,785300,2499814,0,2
0.000,0.000,140,2,ELBIF,Waskaganish,,,24,032M07,512900,784500,2499806,0,2
0.000,0.000,141,2,EPKLO,Mistissini,,,24,032I05,502500,735300,2499804,0,2
0.000,0.000,142,2,EHEOS,Matagami,,,24,032F13,494500,773800,2499015,0,2
0.000,0.000,143,2,EGYQT,Lebel-sur-Quevillon,,,24,032F02,490300,765900,2499005,0,2
0.000,0.000,144,2,EFVWZ,Chapais,,,24,032G15,494700,745100,2499020,0,2
0.000,0.000,145,2,EJNEM,Inukjuak,,,24,034L08,582715,780607,2499879,0,2
0.000,0.000,146,2,FCIJQ,Prescott,,,35,031B12,444300,753100,3507008,0,2
